map,w1,w2,path_cost,runtime
map20,2.0,2.0,101.6880771697493,1.643782377243042
map47,1.5,1.5,73.59797974644661,0.6068148612976074
map47,1.5,2.0,73.59797974644661,0.6091327667236328
map47,2.0,1.5,73.7621933088197,0.35167407989501953
map47,2.0,2.0,73.7621933088197,0.34983110427856445
map32,1.5,1.5,152.04988270759043,1.382401466369629
map32,1.5,2.0,206.06717151748103,0.9994816780090332
map32,2.0,1.5,152.04988270759043,1.2582075595855713
map32,2.0,2.0,152.04988270759043,1.266132116317749
map42,1.5,1.5,74.07995128834865,0.7661724090576172
map42,1.5,2.0,74.07995128834865,0.7634973526000977
map42,2.0,1.5,77.05482502250157,0.4162447452545166
map42,2.0,2.0,77.05482502250157,0.41531920433044434
map00,1.5,1.5,131.66042558696049,1.7642838954925537
map00,1.5,2.0,131.66042558696049,0.9213221073150635
map00,2.0,1.5,126.83199846221429,1.7063918113708496
map00,2.0,2.0,136.52438661763946,1.6806669235229492
map29,1.5,1.5,102.03122292025695,1.4069843292236328
map29,1.5,2.0,110.77869760331524,1.1367769241333008
map29,2.0,1.5,102.03122292025695,1.0802192687988281
map29,2.0,2.0,102.03122292025695,1.073781967163086
map11,1.5,1.5,150.95736828631814,1.919908046722412
map11,1.5,2.0,170.1248916810279,1.4594755172729492
map11,2.0,1.5,150.95736828631814,1.7287328243255615
map11,2.0,2.0,150.95736828631814,1.8812189102172852
map33,1.5,1.5,97.30813485483807,1.013078212738037
map33,1.5,2.0,97.30813485483807,1.214881181716919
map33,2.0,1.5,97.30813485483807,0.9825880527496338
map33,2.0,2.0,97.30813485483807,1.1877713203430176
map38,1.5,1.5,89.31675682618969,1.5080764293670654
map38,1.5,2.0,108.3172798364529,1.467216968536377
map38,2.0,1.5,89.97361107568207,1.241957664489746
map38,2.0,2.0,89.97361107568207,1.2427294254302979
map27,1.5,1.5,96.81523266258722,1.4816064834594727
map27,1.5,2.0,96.81523266258722,1.4995460510253906
map27,2.0,1.5,97.96472759919887,1.1269299983978271
map27,2.0,2.0,97.96472759919887,1.132286787033081
map14,1.5,1.5,142.38046532517444,2.288300037384033
map14,1.5,2.0,158.404851942814,2.517641544342041
